scope,category,base_api,description,forms,source
header,1e,int1e_z_origj,<i|Z |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:152
header,1e,int1e_zz,<i|ZC ZC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:110
header,1e,int1e_zz_origj,<i|Z Z |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:158
header,2c2e,int2c2e_ip1,(NABLA i |R12 |j),optimizer;cart;sph;spinor,include/cint_funcs.h:980
header,2c2e,int2c2e_ip1ip2,(NABLA i |R12 |NABLA j),optimizer;cart;sph;spinor,include/cint_funcs.h:1046
header,2c2e,int2c2e_ip2,(i |R12 |NABLA j),optimizer;cart;sph;spinor,include/cint_funcs.h:986
header,2c2e,int2c2e_ipip1,(NABLA NABLA i |R12 |j),optimizer;cart;sph;spinor,include/cint_funcs.h:1040
header,2e,int2e,Plain ERI (ij|kl),optimizer;cart;sph;spinor,include/cint_funcs.h:20
header,2e,int2e_cg_sa10sp1,(RC CROSS SIGMA i SIGMA DOT P j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:488
header,2e,int2e_cg_sa10sp1spsp2,(RC CROSS SIGMA i SIGMA DOT P j|R12 |SIGMA DOT P k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:494
header,2e,int2e_cg_ssa10ssp2,(RC CROSS SIGMA i j|GAUNT |k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:752
header,2e,int2e_g1,(G i j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:512
header,2e,int2e_g1g2,(G i j|R12 |G k l),optimizer;cart;sph;spinor,include/cint_funcs.h:278
header,2e,int2e_g1spsp2,(G i j|R12 |SIGMA DOT P k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:524
header,2e,int2e_gauge_r1_sps1sps2,(SIGMA DOT P i R0 j|BREIT-R1 |SIGMA DOT P k l),optimizer;cart;sph;spinor,include/cint_funcs.h:788
header,2e,int2e_gauge_r1_sps1ssp2,(SIGMA DOT P i R0 j|BREIT-R1 |k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:782
header,2e,int2e_gauge_r1_ssp1sps2,(i R0 SIGMA DOT P j|BREIT-R1 |SIGMA DOT P k l),optimizer;cart;sph;spinor,include/cint_funcs.h:776
header,2e,int2e_gauge_r1_ssp1ssp2,(i R0 SIGMA DOT P j|BREIT-R1 |k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:770
header,2e,int2e_gauge_r2_sps1sps2,(SIGMA DOT P i j|BREIT-R2 |SIGMA DOT P k R0 l),optimizer;cart;sph;spinor,include/cint_funcs.h:812
header,2e,int2e_gauge_r2_sps1ssp2,(SIGMA DOT P i j|BREIT-R2 |k R0 SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:806
header,2e,int2e_gauge_r2_ssp1sps2,(i SIGMA DOT P j|BREIT-R2 |SIGMA DOT P k R0 l),optimizer;cart;sph;spinor,include/cint_funcs.h:800
header,2e,int2e_gauge_r2_ssp1ssp2,(i SIGMA DOT P j|BREIT-R2 |k R0 SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:794
header,2e,int2e_gg1,(G G i j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:272
header,2e,int2e_giao_sa10sp1,(R CROSS SIGMA i SIGMA DOT P j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:500
header,2e,int2e_giao_sa10sp1spsp2,(R CROSS SIGMA i SIGMA DOT P j|R12 |SIGMA DOT P k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:506
header,2e,int2e_giao_ssa10ssp2,(R CROSS SIGMA i j|GAUNT |k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:758
header,2e,int2e_gssp1ssp2,(G i SIGMA DOT P j|GAUNT |k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:764
header,2e,int2e_ig1,(G i j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:266
header,2e,int2e_ip1,(NABLA i j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:680
header,2e,int2e_ip1ip2,(NABLA i j|R12 |NABLA k l),optimizer;cart;sph;spinor,include/cint_funcs.h:890
header,2e,int2e_ip1spsp2,(NABLA i j|R12 |SIGMA DOT P k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:698
header,2e,int2e_ip1srsr2,(NABLA i j|R12 |SIGMA DOT R k SIGMA DOT R l),optimizer;cart;sph;spinor,include/cint_funcs.h:716
header,2e,int2e_ip1v_r1,(i R j|NABLA-R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:296
header,2e,int2e_ip1v_rc1,(i RC j|NABLA-R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:290
header,2e,int2e_ip2,(i j|R12 |NABLA k l),optimizer;cart;sph;spinor,include/cint_funcs.h:686
header,2e,int2e_ipip1,(NABLA NABLA i j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:878
header,2e,int2e_ipip1ipip2,(NABLA NABLA i j|R12 |NABLA NABLA k l),optimizer;cart;sph;spinor,include/cint_funcs.h:944
header,2e,int2e_ipspsp1,(NABLA SIGMA DOT P i SIGMA DOT P j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:692
header,2e,int2e_ipspsp1spsp2,(NABLA SIGMA DOT P i SIGMA DOT P j|R12 |SIGMA DOT P k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:704
header,2e,int2e_ipsrsr1,(NABLA SIGMA DOT R i SIGMA DOT R j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:710
header,2e,int2e_ipsrsr1srsr2,(NABLA SIGMA DOT R i SIGMA DOT R j|R12 |SIGMA DOT R k SIGMA DOT R l),optimizer;cart;sph;spinor,include/cint_funcs.h:722
header,2e,int2e_ipvg1_xp1,(G i j|NABLA-R12 CROSS P |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:302
header,2e,int2e_ipvg2_xp1,(i j|NABLA-R12 CROSS P |G k l),optimizer;cart;sph;spinor,include/cint_funcs.h:308
header,2e,int2e_ipvip1,(NABLA i NABLA j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:884
header,2e,int2e_ipvip1ipvip2,(NABLA i NABLA j|R12 |NABLA k NABLA l),optimizer;cart;sph;spinor,include/cint_funcs.h:950
header,2e,int2e_p1vxp1,(P* i CROSS P j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:284
header,2e,int2e_pp1,(P* i DOT P j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:536
header,2e,int2e_pp1pp2,(P* i DOT P j|R12 |P* k DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:548
header,2e,int2e_pp2,(i j|R12 |P* k DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:542
header,2e,int2e_spgsp1,(G SIGMA DOT P i SIGMA DOT P j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:518
header,2e,int2e_spgsp1spsp2,(G SIGMA DOT P i SIGMA DOT P j|R12 |SIGMA DOT P k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:530
header,2e,int2e_sps1sps2,(SIGMA DOT P i j|GAUNT |SIGMA DOT P k l),optimizer;cart;sph;spinor,include/cint_funcs.h:746
header,2e,int2e_sps1ssp2,(SIGMA DOT P i j|GAUNT |k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:740
header,2e,int2e_spsp1,(SIGMA DOT P i SIGMA DOT P j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:464
header,2e,int2e_spsp1spsp2,(SIGMA DOT P i SIGMA DOT P j|R12 |SIGMA DOT P k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:470
header,2e,int2e_spsp2,(i j|R12 |SIGMA DOT P k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:578
header,2e,int2e_spv1,(SIGMA DOT P i j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:566
header,2e,int2e_spv1spsp2,(SIGMA DOT P i j|R12 |SIGMA DOT P k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:608
header,2e,int2e_spv1spv2,(SIGMA DOT P i j|R12 |SIGMA DOT P k l),optimizer;cart;sph;spinor,include/cint_funcs.h:584
header,2e,int2e_spv1vsp2,(SIGMA DOT P i j|R12 |k SIGMA DOT P l),optimizer;cart;sph;spinor,include/cint_funcs.h:596
header,2e,int2e_srsr1,(SIGMA DOT R i SIGMA DOT R j|R12 |k l),optimizer;cart;sph;spinor,include/cint_funcs.h:476
header,2e,int2e_srsr1srsr2,(SIGMA DOT R i SIGMA DOT R j|R12 |SIGMA DOT R k SIGMA DOT R l),optimizer;cart;sph;spinor,include/cint_funcs.h:482
header,2e,int2e_ssp1sps2,(i SIGMA DOT P j|GAUNT |SIGMA DOT P k l),optimizer;cart;sph;spinor,include/cint_funcs.h:734
